Date,Game,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,Med10_SOG,Trim10_SOG,Avg5_SOG,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,i5v5_oiGF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result
2026-01-05,ANA@WSH,Tom Wilson,WSH,R,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,98.3,91.4,3.5,2.875,2.6,10.0,5.0,29.0,5.0,3.0,2.622154779969651,,,3.496206373292868,,,,50.0,74.2,50.0,9.11,4.23,28.75,-0.89,-0.77,-0.25,COOL,COOL,COOL,Green,Green,Yellow,74,84,91,GOAL,91,,,
2026-01-05,DET@OTT,Alex DeBrincat,DET,R,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,99.5,91.4,3.0,3.25,2.2,5.0,4.0,34.0,2.0,0.0,2.3370685032035903,,,3.1499618956222304,,,,50.0,71.1,50.0,9.25,4.6,32.5,4.25,0.6,-1.5,HOT,COOL,COOL,Green,Yellow,Yellow,83,82,80,POINTS,83,,,
2026-01-05,ANA@WSH,Aliaksei Protas,WSH,C,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,90.6,82.5,2.0,2.125,2.6,11.0,6.0,23.0,4.0,5.0,2.2643986216704044,,,3.7411803314554506,,,,50.0,72.6,50.0,6.61,2.96,21.25,-4.39,-3.04,-1.75,COOL,COOL,COOL,Green,Red,Yellow,69,72,83,GOAL,83,,,
2026-01-05,ANA@WSH,Alex Ovechkin,WSH,L,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,97.6,89.9,2.5,2.75,3.0,3.0,1.0,27.0,1.0,2.0,2.4489038681549737,,,3.2281005534770104,,,,50.0,72.4,50.0,8.49,3.97,27.5,5.49,2.97,0.5,HOT,HOT,COOL,Green,Red,Yellow,83,79,75,POINTS,83,,,
2026-01-05,UTA@NYR,Artemi Panarin,NYR,L,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,90.0,97.6,4.5,4.625,3.4,12.0,6.0,46.0,3.0,5.0,2.2457352623623406,,,3.109479594040164,,,,50.0,70.7,50.0,9.45,2.78,46.25,-2.55,-3.22,0.25,COOL,COOL,COOL,Green,Green,Green,75,82,76,SOG,82,,,
2026-01-05,MIN@LAK,Matt Boldy,MIN,L,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,98.6,93.6,3.5,3.375,3.8,11.0,8.0,33.0,4.0,1.0,2.5018041857108493,,,3.367813326918451,,,,50.0,73.0,50.0,9.27,4.16,33.75,-1.73,-3.84,0.75,COOL,COOL,COOL,Green,Green,Yellow,72,78,82,GOAL,82,,,
2026-01-05,ANA@WSH,Troy Terry,ANA,R,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,92.0,97.1,2.5,2.375,2.4,6.0,4.0,25.0,3.0,1.0,2.4032771961766044,,,3.277196176604461,,,,50.0,72.2,50.0,9.5,3.16,23.75,3.5,-0.84,-1.25,HOT,COOL,COOL,Green,Red,Yellow,82,69,73,POINTS,82,,,
2026-01-05,ANA@WSH,Leo Carlsson,ANA,C,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,89.6,96.3,3.0,2.125,2.6,4.0,1.0,21.0,0.0,1.0,1.8277932084938626,,,2.795448436520025,,,,50.0,66.0,50.0,9.13,2.88,21.25,5.13,1.88,0.25,HOT,WARM,COOL,Green,Yellow,Yellow,82,70,60,POINTS,82,,,
2026-01-05,ANA@WSH,Jakob Chychrun,WSH,D,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,90.4,85.1,3.5,3.375,3.2,5.0,3.0,36.0,1.0,2.0,1.5908756128869341,,,3.560531133604091,,,,50.0,67.4,50.0,6.69,2.88,33.75,1.69,-0.12,-2.25,WARM,COOL,COOL,Green,Green,Green,73,80,71,SOG,80,,,
2026-01-05,UTA@NYR,Mika Zibanejad,NYR,C,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,97.4,91.4,1.5,1.375,1.4,11.0,4.0,17.0,3.0,5.0,1.4388872605185323,,,1.822590529990141,,,,50.0,55.0,50.0,8.69,3.93,13.75,-2.31,-0.07,-3.25,COOL,COOL,COOL,Green,Red,Yellow,69,71,80,GOAL,80,,,
2026-01-05,ANA@WSH,John Carlson,WSH,D,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,70.1,92.7,1.0,1.375,1.6,5.0,2.0,16.0,0.0,0.0,1.7359622803257608,,,3.568366909558508,,,,50.0,68.9,50.0,7.23,1.7,13.75,2.23,-0.3,-2.25,HOT,COOL,COOL,Green,Red,Red,79,56,55,POINTS,79,,,
2026-01-05,UTA@NYR,Dylan Guenther,UTA,R,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,94.4,85.1,3.5,3.5,4.0,11.0,7.0,34.0,4.0,4.0,2.4627631456201997,,,3.0224820423520633,,,,50.0,71.7,50.0,7.23,3.42,35.0,-3.77,-3.58,1.0,COOL,COOL,WARM,Green,Green,Yellow,67,76,79,GOAL,79,,,
2026-01-05,MIN@LAK,Kirill Kaprizov,MIN,L,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,99.4,96.3,3.5,3.875,3.4,12.0,4.0,40.0,2.0,4.0,1.7950228910747472,,,2.8557182358007345,,,,50.0,66.1,50.0,10.4,4.58,38.75,-1.6,0.58,-1.25,COOL,COOL,COOL,Green,Green,Yellow,72,79,74,SOG,79,,,
2026-01-05,ANA@WSH,Cutter Gauthier,ANA,L,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,92.4,89.9,3.0,3.5,5.0,4.0,3.0,38.0,1.0,1.0,2.605448281851605,,,3.4391917320441188,,,,50.0,73.9,50.0,7.83,3.19,35.0,3.83,0.19,-3.0,HOT,COOL,COOL,Green,Yellow,Yellow,79,72,66,POINTS,79,,,
2026-01-05,DET@OTT,Tim Sttzle,OTT,C,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,95.8,95.3,3.0,2.75,2.4,15.0,5.0,29.0,2.0,3.0,2.4220441116246416,,,3.369800503129936,,,,50.0,72.7,50.0,9.82,3.82,27.5,-5.18,-1.18,-1.5,COOL,COOL,COOL,Green,Yellow,Yellow,75,78,76,SOG,78,,,
2026-01-05,DET@OTT,Brady Tkachuk,OTT,L,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,86.3,76.5,4.0,4.125,3.4,10.0,5.0,45.0,0.0,3.0,2.5210084033613445,,,2.750190985485103,,,,50.0,69.5,50.0,11.62,5.12,41.25,1.62,0.12,-3.75,WARM,COOL,COOL,Yellow,Green,Green,68,78,62,SOG,78,,,
2026-01-05,SEA@CGY,Nazem Kadri,CGY,C,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,88.0,95.3,2.0,2.0,1.8,6.0,2.0,21.0,0.0,1.0,1.7787049490818259,,,2.2727896571601107,,,,50.0,61.2,50.0,8.55,2.7,20.0,2.55,0.7,-1.0,HOT,COOL,COOL,Green,Red,Yellow,78,67,62,POINTS,78,,,
2026-01-05,DET@OTT,Dylan Larkin,DET,C,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,99.2,86.9,2.0,2.0,1.2,5.0,4.0,19.0,1.0,1.0,1.7129262490087231,,,2.4742268041237114,,,,50.0,61.8,50.0,8.41,4.45,20.0,3.41,0.45,1.0,HOT,COOL,WARM,Green,Red,Yellow,77,77,76,POINTS,77,,,
2026-01-05,DET@OTT,Lucas Raymond,DET,L,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,84.0,98.9,1.5,1.625,1.6,10.0,1.0,18.0,0.0,3.0,2.042842956447723,,,2.3492693999148817,,,,50.0,63.7,50.0,10.41,2.36,16.25,0.41,1.36,-1.75,COOL,WARM,COOL,Green,Red,Red,77,66,63,POINTS,77,,,
2026-01-05,SEA@CGY,Jordan Eberle,SEA,R,CGY,Dustin Wolf,0.900355871886121,2.8630941109638326,45.7,97.0,76.5,2.0,2.125,2.2,9.0,5.0,24.0,2.0,3.0,1.2100162455884824,,,2.0166937426474707,,,,50.0,53.5,50.0,7.51,4.17,21.25,-1.49,-0.83,-2.75,COOL,COOL,COOL,Yellow,Red,Yellow,60,73,76,GOAL,76,,,
2026-01-05,ANA@WSH,Connor McMichael,WSH,C,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,86.9,85.1,1.5,1.5,1.4,4.0,0.0,16.0,0.0,2.0,1.9907834101382489,,,2.8755760368663594,,,,50.0,67.5,50.0,6.31,2.5,15.0,2.31,2.5,-1.0,HOT,HOT,COOL,Green,Red,Yellow,75,68,65,POINTS,75,,,
2026-01-05,ANA@WSH,Dylan Strome,WSH,C,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,82.9,94.4,2.0,2.375,2.6,10.0,4.0,23.0,3.0,3.0,2.0921717905503576,,,3.6613006334631253,,,,50.0,71.8,50.0,8.05,2.3,23.75,-1.95,-1.7,0.75,COOL,COOL,COOL,Green,Red,Red,75,68,74,POINTS,75,,,
2026-01-05,DET@OTT,Jake Sanderson,OTT,D,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,65.5,92.7,1.5,1.375,1.2,5.0,2.0,13.0,1.0,2.0,1.3624107100619707,,,2.980273428260561,,,,50.0,62.5,50.0,6.62,1.37,13.75,1.62,-0.63,0.75,WARM,COOL,COOL,Green,Red,Red,75,54,54,POINTS,75,,,
2026-01-05,UTA@NYR,J.T. Miller,NYR,C,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,88.4,73.6,3.0,2.625,2.8,8.0,3.0,25.0,3.0,1.0,1.3651877133105803,,,1.9340159271899886,,,,50.0,54.5,50.0,6.61,3.18,26.25,-1.39,0.18,1.25,COOL,COOL,WARM,Yellow,Yellow,Yellow,59,74,75,GOAL,75,,,
2026-01-05,DET@OTT,Patrick Kane,DET,R,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,72.4,88.4,3.0,2.625,2.8,8.0,3.0,26.0,1.0,2.0,2.1109607577807847,,,3.085250338294993,,,,50.0,70.2,50.0,8.95,2.52,26.25,0.95,-0.48,0.25,COOL,COOL,COOL,Green,Red,Red,74,67,60,POINTS,74,,,
2026-01-05,DET@OTT,James van Riemsdyk,DET,L,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,88.7,26.3,1.0,1.5,1.0,4.0,3.0,18.0,2.0,1.0,1.2178031218286378,,,1.5657468709225342,,,,50.0,49.6,50.0,3.88,3.29,15.0,-0.12,0.29,-3.0,COOL,COOL,COOL,Red,Red,Yellow,33,66,74,GOAL,74,,,
2026-01-05,SEA@CGY,Blake Coleman,CGY,L,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,89.0,59.1,2.5,2.5,2.6,8.0,5.0,25.0,3.0,1.0,1.777997283615261,,,2.7781207556488456,,,,50.0,64.7,50.0,4.69,2.74,25.0,-3.31,-2.26,0.0,COOL,COOL,COOL,Red,Red,Yellow,52,71,74,GOAL,74,,,
2026-01-05,ANA@WSH,Beckett Sennecke,ANA,R,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,90.5,88.4,1.5,1.875,2.6,5.0,3.0,21.0,2.0,1.0,2.3796522488863343,,,2.896967955165972,,,,50.0,69.7,50.0,7.34,2.95,18.75,2.34,-0.05,-2.25,HOT,COOL,COOL,Green,Red,Yellow,74,64,69,POINTS,74,,,
2026-01-05,DET@OTT,Moritz Seider,DET,D,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,51.1,95.3,2.0,2.0,1.8,9.0,3.0,20.0,1.0,1.0,1.0038640799904395,,,3.011592239971318,,,,50.0,58.0,50.0,6.4,0.82,20.0,-2.6,-2.18,0.0,COOL,COOL,COOL,Green,Red,Red,73,51,47,POINTS,73,,,
2026-01-05,DET@OTT,Emmitt Finnie,DET,C,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,91.6,67.5,2.0,1.75,1.6,4.0,2.0,20.0,0.0,0.0,0.8901098901098901,,,2.1758241758241756,,,,50.0,48.6,50.0,5.22,2.9,17.5,1.22,0.9,-2.5,WARM,COOL,COOL,Red,Red,Yellow,59,73,67,SOG,73,,,
2026-01-05,DET@OTT,Drake Batherson,OTT,R,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,89.3,93.6,1.0,1.75,2.6,9.0,3.0,19.0,2.0,1.0,2.409101048405086,,,2.867977438577483,,,,50.0,69.8,50.0,9.05,3.1,17.5,0.05,0.1,-1.5,COOL,COOL,COOL,Green,Red,Yellow,73,65,72,POINTS,73,,,
2026-01-05,DET@OTT,Dylan Cozens,OTT,C,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,90.8,89.9,2.5,2.75,2.2,8.0,2.0,27.0,0.0,3.0,1.3353941267387945,,,2.003091190108192,,,,50.0,54.6,50.0,7.78,3.03,27.5,-0.22,1.03,0.5,COOL,WARM,COOL,Yellow,Red,Yellow,68,73,65,SOG,73,,,
2026-01-05,UTA@NYR,Adam Fox,NYR,D,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,53.8,95.3,1.0,1.125,0.8,12.0,1.0,13.0,1.0,6.0,1.5299153082597214,,,2.841271286768054,,,,50.0,63.6,50.0,9.58,1.31,11.25,-2.42,0.31,-1.75,COOL,COOL,COOL,Green,Red,Red,73,45,46,POINTS,73,,,
2026-01-05,UTA@NYR,Clayton Keller,UTA,R,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,94.5,94.4,2.5,2.75,3.0,8.0,3.0,28.0,2.0,4.0,1.5328117515567619,,,2.8740220341689287,,,,50.0,64.0,50.0,8.92,3.44,27.5,0.92,0.44,-0.5,COOL,COOL,COOL,Green,Red,Yellow,73,71,71,POINTS,73,,,
2026-01-05,MIN@LAK,Adrian Kempe,LAK,R,MIN,Filip Gustavsson,0.9122085048010974,2.4518202424152133,17.8,91.4,89.9,2.0,2.25,3.0,6.0,4.0,24.0,1.0,2.0,1.8580112398210804,,,2.4773483197614405,,,,50.0,63.8,50.0,7.84,3.08,22.5,1.84,-0.92,-1.5,WARM,COOL,COOL,Green,Red,Yellow,73,67,66,POINTS,73,,,
2026-01-05,MIN@LAK,Kevin Fiala,LAK,L,MIN,Filip Gustavsson,0.9122085048010974,2.4518202424152133,17.8,92.6,79.6,3.0,2.375,2.6,6.0,3.0,23.0,2.0,3.0,1.3166408777605851,,,1.7217611478407653,,,,50.0,51.7,50.0,6.78,3.28,23.75,0.78,0.28,0.75,COOL,COOL,COOL,Yellow,Yellow,Yellow,62,73,70,SOG,73,,,
2026-01-05,ANA@WSH,Mason McTavish,ANA,C,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,94.0,85.1,3.0,2.875,3.6,6.0,3.0,29.0,2.0,2.0,1.8269202065733305,,,3.0090450461207796,,,,50.0,68.0,50.0,7.37,3.47,28.75,1.37,0.47,-0.25,WARM,COOL,COOL,Green,Yellow,Yellow,69,73,71,SOG,73,,,
2026-01-05,DET@OTT,Andrew Copp,DET,C,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,85.2,86.9,1.5,1.75,2.4,6.0,2.0,19.0,2.0,0.0,1.6071428571428572,,,2.5255102040816326,,,,50.0,61.6,50.0,6.26,2.3,17.5,0.26,0.3,-1.5,COOL,COOL,COOL,Green,Red,Yellow,70,67,72,GOAL,72,,,
2026-01-05,ANA@WSH,Anthony Beauvillier,WSH,L,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,86.7,48.7,2.0,2.125,2.0,3.0,2.0,22.0,2.0,1.0,1.2374677742767115,,,2.8874248066456603,,,,50.0,60.6,50.0,3.89,2.46,21.25,0.89,0.46,-0.75,COOL,COOL,COOL,Red,Red,Yellow,50,70,72,GOAL,72,,,
2026-01-05,DET@OTT,Claude Giroux,OTT,R,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,72.0,91.4,2.0,2.0,2.0,9.0,3.0,20.0,1.0,3.0,2.062133566951951,,,3.517757261270975,,,,50.0,71.1,50.0,6.75,1.75,20.0,-2.25,-1.25,0.0,COOL,COOL,COOL,Green,Red,Red,72,60,58,POINTS,72,,,
2026-01-05,UTA@NYR,John Marino,UTA,D,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,46.2,82.5,0.5,0.5,0.2,1.0,0.0,5.0,0.0,0.0,1.1242220784724855,,,3.6135709665187035,,,,50.0,62.0,50.0,4.28,0.71,5.0,3.28,0.71,0.0,HOT,COOL,COOL,Green,Red,Red,72,35,35,POINTS,72,,,
2026-01-05,UTA@NYR,Nick Schmaltz,UTA,C,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,89.8,93.6,2.0,2.625,3.2,10.0,3.0,29.0,2.0,3.0,2.399133646183323,,,2.8989531558048482,,,,50.0,70.0,50.0,7.99,2.75,26.25,-2.01,-0.25,-2.75,COOL,COOL,COOL,Green,Red,Yellow,71,66,69,POINTS,71,,,
2026-01-05,MIN@LAK,Quinton Byfield,LAK,R,MIN,Filip Gustavsson,0.9122085048010974,2.4518202424152133,17.8,89.2,86.9,2.5,2.25,2.4,4.0,2.0,22.0,2.0,2.0,0.9612246714332334,,,1.8156466015961077,,,,50.0,47.9,50.0,7.26,2.9,22.5,3.26,0.9,0.5,HOT,COOL,COOL,Yellow,Red,Yellow,71,68,68,POINTS,71,,,
2026-01-05,MIN@LAK,Quinn Hughes,MIN,D,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,66.6,98.7,2.0,1.75,1.8,11.0,0.0,18.0,0.0,8.0,0.9920929345176266,,,2.8999639624361393,,,,50.0,56.4,50.0,10.19,1.54,17.5,-0.81,1.54,-0.5,COOL,WARM,COOL,Green,Red,Red,71,53,47,POINTS,71,,,
2026-01-05,SEA@CGY,Mikael Backlund,CGY,C,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,83.2,85.1,3.0,3.25,3.0,10.0,5.0,33.0,1.0,4.0,2.077385652675697,,,2.842738261556217,,,,50.0,67.8,50.0,6.18,2.28,32.5,-3.82,-2.72,-0.5,COOL,COOL,COOL,Green,Yellow,Red,67,70,63,SOG,70,,,
2026-01-05,MIN@LAK,Marcus Johansson,MIN,L,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,71.5,91.4,1.0,1.5,1.4,9.0,1.0,15.0,1.0,3.0,2.0905284391332253,,,3.1908065649928177,,,,50.0,70.3,50.0,6.55,1.68,15.0,-2.45,0.68,0.0,COOL,COOL,COOL,Green,Red,Red,70,51,54,POINTS,70,,,
2026-01-05,MIN@LAK,Joel Eriksson Ek,MIN,C,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,92.4,92.7,2.5,2.625,2.8,9.0,4.0,27.0,2.0,3.0,1.7357762777242045,,,3.165239094673549,,,,50.0,67.5,50.0,7.93,3.04,26.25,-1.07,-0.96,-0.75,COOL,COOL,COOL,Green,Red,Yellow,70,70,70,POINTS,70,,,
2026-01-05,UTA@NYR,Will Cuylle,NYR,L,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,91.2,76.5,1.0,1.375,2.0,5.0,1.0,15.0,1.0,2.0,1.1547882888137175,,,1.5747113029277966,,,,50.0,48.9,50.0,5.89,2.86,13.75,0.89,1.86,-1.25,COOL,WARM,COOL,Yellow,Red,Yellow,62,65,69,GOAL,69,,,
2026-01-05,SEA@CGY,Matty Beniers,SEA,C,CGY,Dustin Wolf,0.900355871886121,2.8630941109638326,45.7,85.5,86.9,2.5,2.25,1.8,6.0,2.0,22.0,2.0,2.0,1.3961992354147044,,,1.8948418194913845,,,,50.0,54.9,50.0,6.91,2.55,22.5,0.91,0.55,0.5,COOL,COOL,COOL,Yellow,Red,Yellow,68,69,69,SOG,69,,,
2026-01-05,SEA@CGY,Rasmus Andersson,CGY,D,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,73.5,88.4,2.5,2.5,1.8,6.0,2.0,26.0,2.0,0.0,1.4054426455390976,,,2.97623148467103,,,,50.0,63.3,50.0,6.18,1.79,25.0,0.18,-0.21,-1.0,COOL,COOL,COOL,Green,Red,Red,69,62,61,POINTS,69,,,
2026-01-05,ANA@WSH,Ryan Leonard,WSH,R,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,78.6,82.5,2.0,2.0,1.8,11.0,3.0,22.0,1.0,2.0,2.363367799113737,,,2.806499261447563,,,,50.0,68.6,50.0,6.67,2.38,20.0,-4.33,-0.62,-2.0,COOL,COOL,COOL,Green,Red,Red,68,66,64,POINTS,68,,,
2026-01-05,UTA@NYR,Mikhail Sergachev,UTA,D,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,57.4,94.4,2.0,1.875,2.0,9.0,2.0,19.0,2.0,4.0,1.0733698768376871,,,2.0641728400724753,,,,50.0,51.9,50.0,6.5,1.03,18.75,-2.5,-0.97,-0.25,COOL,COOL,COOL,Yellow,Red,Red,68,48,49,POINTS,68,,,
2026-01-05,MIN@LAK,Alex Laferriere,LAK,R,MIN,Filip Gustavsson,0.9122085048010974,2.4518202424152133,17.8,82.7,63.7,2.5,2.75,4.0,6.0,3.0,32.0,3.0,1.0,1.8132023798281236,,,2.2665029747851544,,,,50.0,61.6,50.0,4.54,2.29,27.5,-1.46,-0.71,-4.5,COOL,COOL,COOL,Red,Red,Red,53,65,68,GOAL,68,,,
